nCPUs,expN,Execution Time
1.0,0,5.94366192817688
1.0,1,2.0840981006622314
1.0,2,2.0469837188720703
1.0,3,2.1395578384399414
1.0,4,2.048032522201538
1.0,5,2.077235221862793
1.0,6,2.0391669273376465
1.0,7,2.057258129119873
1.0,8,2.074223279953003
1.0,9,2.039858341217041
1.0,10,2.040431261062622
1.0,11,2.0803048610687256
1.0,12,2.1087260246276855
1.0,13,2.111650228500366
1.0,14,2.0720298290252686
1.0,15,2.074280023574829
1.0,16,1.7500007152557373
1.0,17,1.7734439373016357
1.0,18,1.5874953269958496
1.0,19,1.552663803100586
1.0,20,1.6007168292999268
1.0,21,1.5063111782073975
1.0,22,1.6678824424743652
1.0,23,1.548670768737793
1.0,24,1.617908239364624
1.0,25,1.5746674537658691
1.0,26,1.5199804306030273
1.0,27,1.540994644165039
1.0,28,1.4938514232635498
1.0,29,1.5673096179962158
1.0,30,1.5237789154052734
1.0,31,1.5868682861328125
1.0,32,1.5228962898254395
1.0,33,1.6206066608428955
1.0,34,1.5371637344360352
1.0,35,6.407779216766357
1.0,36,2.175086498260498
1.0,37,1.7567784786224365
1.0,38,1.7115252017974854
1.0,39,1.7710340023040771
1.0,40,1.77219557762146
1.0,41,1.737192153930664
1.0,42,1.7503657341003418
1.0,43,1.7423269748687744
1.0,44,1.774233341217041
1.0,45,1.7484047412872314
1.0,46,1.7695245742797852
1.0,47,1.7509217262268066
1.0,48,1.7083511352539062
1.0,49,1.7561759948730469
1.0,50,1.8451104164123535
1.0,51,1.7451505661010742
1.0,52,1.7777504920959473
1.0,53,1.6519386768341064
1.0,54,1.5429160594940186
1.0,55,1.4702725410461426
1.0,56,1.5683891773223877
1.0,57,1.5847980976104736
1.0,58,1.5184316635131836
1.0,59,1.5999338626861572
1.0,60,1.5454506874084473
1.0,61,1.6142117977142334
1.0,62,1.564845323562622
1.0,63,1.551837682723999
1.0,64,1.578094720840454
1.0,65,1.541715145111084
1.0,66,1.5710313320159912
1.0,67,1.5952706336975098
1.0,68,1.5292458534240723
1.0,69,1.5388290882110596
1.0,70,1.599886178970337
1.0,71,1.6162183284759521
1.0,72,1.5350737571716309
1.0,73,1.6708040237426758
1.0,74,1.5697011947631836
1.0,75,1.6079401969909668
1.0,76,1.5588817596435547
1.0,77,1.567676067352295
1.0,78,1.5932440757751465
1.0,79,1.6434528827667236
1.0,80,1.5989007949829102
1.0,81,1.596153974533081
1.0,82,1.555621862411499
1.0,83,1.6590256690979004
1.0,84,1.5993614196777344
1.0,85,1.5818445682525635
1.0,86,1.6071484088897705
1.0,87,1.6390726566314697
1.0,88,1.5836191177368164
1.0,89,1.5771548748016357
1.0,90,1.5690507888793945
1.0,91,1.6007399559020996
1.0,92,1.5719969272613525
1.0,93,1.563122034072876
1.0,94,1.5732691287994385
1.0,95,1.5152463912963867
1.0,96,1.512791633605957
1.0,97,1.5858089923858643
1.0,98,1.5746536254882812
1.0,99,1.5518097877502441
0.75,0,1.6058297157287598
0.75,1,1.5693295001983643
0.75,2,1.629509687423706
0.75,3,1.540771245956421
0.75,4,1.5924561023712158
0.75,5,1.5209159851074219
0.75,6,1.5321290493011475
0.75,7,1.5605554580688477
0.75,8,1.643758773803711
0.75,9,1.5604093074798584
0.75,10,1.5922837257385254
0.75,11,1.6202850341796875
0.75,12,1.6142115592956543
0.75,13,1.5908479690551758
0.75,14,1.5278997421264648
0.75,15,1.528001070022583
0.75,16,1.596740484237671
0.75,17,1.6308434009552002
0.75,18,1.5482940673828125
0.75,19,1.6164202690124512
0.75,20,1.62978196144104
0.75,21,1.5601632595062256
0.75,22,1.5803964138031006
0.75,23,1.5538182258605957
0.75,24,1.5847628116607666
0.75,25,1.6000568866729736
0.75,26,1.5522792339324951
0.75,27,1.5668339729309082
0.75,28,1.559300184249878
0.75,29,1.5292942523956299
0.75,30,1.5598104000091553
0.75,31,1.5475401878356934
0.75,32,1.5244579315185547
0.75,33,1.5190801620483398
0.75,34,1.579892635345459
0.75,35,1.632986068725586
0.75,36,1.5546467304229736
0.75,37,1.5302023887634277
0.75,38,1.5008912086486816
0.75,39,1.627152442932129
0.75,40,1.5673646926879883
0.75,41,1.5850000381469727
0.75,42,1.5566325187683105
0.75,43,1.5934624671936035
0.75,44,1.5601871013641357
0.75,45,1.5959692001342773
0.75,46,1.5611302852630615
0.75,47,1.6190078258514404
0.75,48,1.55769681930542
0.75,49,1.5692732334136963
0.75,50,1.6355812549591064
0.75,51,1.5748438835144043
0.75,52,1.6287200450897217
0.75,53,1.5800433158874512
0.75,54,1.6198451519012451
0.75,55,1.6321120262145996
0.75,56,1.6321005821228027
0.75,57,1.5627057552337646
0.75,58,1.5525321960449219
0.75,59,1.6308672428131104
0.75,60,1.5987708568572998
0.75,61,1.5834169387817383
0.75,62,1.5790579319000244
0.75,63,1.5927395820617676
0.75,64,1.5375993251800537
0.75,65,1.6123547554016113
0.75,66,1.5366706848144531
0.75,67,1.5626888275146484
0.75,68,1.607921838760376
0.75,69,1.5591862201690674
0.75,70,1.570444107055664
0.75,71,1.5928645133972168
0.75,72,1.6127095222473145
0.75,73,1.5986323356628418
0.75,74,1.5540993213653564
0.75,75,1.5744719505310059
0.75,76,1.5722379684448242
0.75,77,1.5169057846069336
0.75,78,1.6228911876678467
0.75,79,1.6546685695648193
0.75,80,1.6394579410552979
0.75,81,1.6197526454925537
0.75,82,1.5149056911468506
0.75,83,1.6037142276763916
0.75,84,1.6125094890594482
0.75,85,1.6467525959014893
0.75,86,1.6123294830322266
0.75,87,1.533618450164795
0.75,88,1.5769171714782715
0.75,89,1.5245707035064697
0.75,90,1.5725016593933105
0.75,91,1.6219956874847412
0.75,92,1.5994045734405518
0.75,93,1.5275051593780518
0.75,94,1.5433905124664307
0.75,95,1.5501222610473633
0.75,96,1.6038844585418701
0.75,97,1.6378791332244873
0.75,98,1.6153359413146973
0.75,99,1.5163397789001465
0.5,0,11.367236614227295
0.5,1,6.767724990844727
0.5,2,10.964695453643799
0.5,3,3.0382418632507324
0.5,4,6.807096719741821
0.5,5,10.865100860595703
0.5,6,7.239812850952148
0.5,7,9.720299005508423
0.5,8,6.60313606262207
0.5,9,12.729772806167603
0.5,10,12.89188551902771
0.5,11,9.849023580551147
0.5,12,2.6670074462890625
0.5,13,2.7681946754455566
0.5,14,2.6568784713745117
0.5,15,2.384005546569824
0.5,16,2.521085500717163
0.5,17,2.4282546043395996
0.5,18,5.827775001525879
0.5,19,10.11104416847229
0.5,20,2.6868748664855957
0.5,21,2.7200076580047607
0.5,22,2.7654550075531006
0.5,23,2.518324613571167
0.5,24,2.6841166019439697
0.5,25,2.63763427734375
0.5,26,2.573910713195801
0.5,27,6.023137807846069
0.5,28,10.103408336639404
0.5,29,7.581384658813477
0.5,30,10.87138032913208
0.5,31,2.972029447555542
0.5,32,2.796821117401123
0.5,33,6.163326025009155
0.5,34,10.443374872207642
0.5,35,6.616186141967773
0.5,36,9.975741147994995
0.5,37,2.806410551071167
0.5,38,2.723371982574463
0.5,39,5.544348239898682
0.5,40,9.82145619392395
0.5,41,5.068807363510132
0.5,42,10.086968421936035
0.5,43,2.7941696643829346
0.5,44,2.884408712387085
0.5,45,2.720000982284546
0.5,46,2.6616463661193848
0.5,47,2.7673938274383545
0.5,48,2.575639486312866
0.5,49,2.735366106033325
0.5,50,5.6524927616119385
0.5,51,10.03435730934143
0.5,52,2.749922513961792
0.5,53,2.7135462760925293
0.5,54,2.4661037921905518
0.5,55,2.5922133922576904
0.5,56,2.603144884109497
0.5,57,2.581099271774292
0.5,58,2.4883816242218018
0.5,59,2.582418441772461
0.5,60,2.528754472732544
0.5,61,2.5023767948150635
0.5,62,6.218317031860352
