nCPUs,expN,Execution Time
1.0,0,6.129596948623657
1.0,1,3.2969250679016113
1.0,2,3.3393375873565674
1.0,3,3.1875264644622803
1.0,4,3.242241382598877
1.0,5,3.152312994003296
1.0,6,3.218959331512451
1.0,7,3.220668315887451
1.0,8,3.181083917617798
1.0,9,3.266530752182007
1.0,10,3.142408847808838
1.0,11,3.082789182662964
1.0,12,3.128812789916992
1.0,13,3.0354530811309814
1.0,14,2.8871421813964844
1.0,15,2.883070230484009
1.0,16,2.831476926803589
1.0,17,2.753293514251709
1.0,18,2.7239620685577393
1.0,19,2.790497064590454
0.75,0,2.742046594619751
0.75,1,2.8627066612243652
0.75,2,2.7747647762298584
0.75,3,2.7754640579223633
0.75,4,2.755056381225586
0.75,5,2.7757067680358887
0.75,6,2.8024168014526367
0.75,7,2.709203004837036
0.75,8,2.81681489944458
0.75,9,2.809727430343628
0.75,10,2.8292386531829834
0.75,11,2.784452438354492
0.75,12,2.8016746044158936
0.75,13,2.8182148933410645
0.75,14,2.7617642879486084
0.75,15,2.754328966140747
0.75,16,2.730811834335327
0.75,17,7.3690454959869385
0.75,18,3.4306116104125977
0.75,19,2.9856579303741455
0.5,0,8.687633991241455
0.5,1,5.1057047843933105
0.5,2,15.488860368728638
0.5,3,4.8316192626953125
0.5,4,4.719533205032349
0.5,5,4.431748390197754
0.5,6,7.26474142074585
0.5,7,13.194149732589722
0.5,8,15.209637880325317
0.5,9,4.857869863510132
0.5,10,4.715814590454102
0.5,11,9.06689715385437
0.5,12,10.972536563873291
0.5,13,4.689082145690918
0.5,14,4.608685731887817
0.5,15,4.70885968208313
0.5,16,4.782366037368774
0.5,17,4.77520227432251
0.5,18,4.912458419799805
0.5,19,4.648984909057617
