nCPUs,expN,Execution Time
1.0,0,3.309831380844116
1.0,1,1.4434971809387207
1.0,2,1.567662239074707
1.0,3,1.4824225902557373
1.0,4,1.5156970024108887
1.0,5,1.4533922672271729
1.0,6,1.484255313873291
1.0,7,1.482367992401123
1.0,8,1.4330193996429443
1.0,9,1.4389808177947998
1.0,10,1.538069725036621
1.0,11,1.5437793731689453
1.0,12,1.453355312347412
1.0,13,1.493520736694336
1.0,14,1.5293920040130615
1.0,15,1.3730289936065674
1.0,16,1.4563570022583008
1.0,17,1.5505807399749756
1.0,18,1.509244441986084
1.0,19,1.4886088371276855
0.75,0,1.4513206481933594
0.75,1,1.48740553855896
0.75,2,1.3964848518371582
0.75,3,1.459350824356079
0.75,4,1.4162697792053223
0.75,5,1.4547767639160156
0.75,6,1.4583277702331543
0.75,7,1.5120980739593506
0.75,8,1.4785327911376953
0.75,9,1.4858427047729492
0.75,10,1.4248385429382324
0.75,11,1.446014165878296
0.75,12,1.4656658172607422
0.75,13,1.4840614795684814
0.75,14,1.4835479259490967
0.75,15,1.4265234470367432
0.75,16,1.4728188514709473
0.75,17,1.4485642910003662
0.75,18,1.4467589855194092
0.75,19,1.486795425415039
0.5,0,6.07326602935791
0.5,1,2.346323013305664
0.5,2,2.4209866523742676
0.5,3,2.442627191543579
0.5,4,2.371541738510132
0.5,5,2.499331474304199
0.5,6,2.451735496520996
0.5,7,2.399984121322632
0.5,8,2.3525242805480957
0.5,9,2.387051820755005
0.5,10,2.3704488277435303
0.5,11,2.3453497886657715
0.5,12,2.495234251022339
0.5,13,2.385939836502075
0.5,14,2.4194254875183105
0.5,15,2.492523431777954
0.5,16,2.459648609161377
0.5,17,2.4171299934387207
0.5,18,2.2147579193115234
0.5,19,2.382406234741211
