nCPUs,expN,Execution Time
1.0,0,5.7256317138671875
1.0,1,2.126706600189209
1.0,2,2.1284239292144775
1.0,3,2.1053366661071777
1.0,4,2.12990140914917
1.0,5,1.8687386512756348
1.0,6,1.8206040859222412
1.0,7,1.7880210876464844
1.0,8,1.9028215408325195
1.0,9,1.8645987510681152
1.0,10,1.9269428253173828
1.0,11,1.891219139099121
1.0,12,1.9376864433288574
1.0,13,1.8655245304107666
1.0,14,1.7483031749725342
1.0,15,1.7193691730499268
1.0,16,1.5797035694122314
1.0,17,1.608738899230957
1.0,18,1.5655972957611084
1.0,19,1.5662531852722168
0.75,0,1.608762264251709
0.75,1,1.5253658294677734
0.75,2,5.454665184020996
0.75,3,2.2133007049560547
0.75,4,1.7825360298156738
0.75,5,1.739487648010254
0.75,6,1.747492790222168
0.75,7,1.7197418212890625
0.75,8,1.717630386352539
0.75,9,1.790534257888794
0.75,10,1.7158677577972412
0.75,11,1.7095587253570557
0.75,12,1.6760594844818115
0.75,13,1.7356979846954346
0.75,14,1.7334861755371094
0.75,15,1.7919411659240723
0.75,16,1.7302992343902588
0.75,17,1.7664754390716553
0.75,18,1.6974239349365234
0.75,19,1.8181042671203613
0.5,0,9.547685384750366
0.5,1,13.244024515151978
0.5,2,9.88397216796875
0.5,3,2.7930421829223633
0.5,4,7.349743604660034
0.5,5,9.908171653747559
0.5,6,7.375494003295898
0.5,7,9.513722658157349
0.5,8,2.578641414642334
0.5,9,2.5764760971069336
0.5,10,2.4603512287139893
0.5,11,2.5700066089630127
0.5,12,2.513911724090576
0.5,13,2.4610676765441895
0.5,14,2.369516611099243
0.5,15,2.394550323486328
0.5,16,2.4575631618499756
0.5,17,2.4423000812530518
0.5,18,5.2042014598846436
0.5,19,8.404426097869873
