nCPUs,expN,Execution Time
1.0,0,3.8783509731292725
1.0,1,2.5452070236206055
1.0,2,2.436777114868164
1.0,3,2.517777442932129
1.0,4,2.454073667526245
1.0,5,2.443768262863159
1.0,6,2.5002119541168213
1.0,7,2.3930604457855225
1.0,8,2.5613598823547363
1.0,9,2.3964850902557373
1.0,10,2.6489880084991455
1.0,11,2.85666823387146
1.0,12,2.22257924079895
1.0,13,2.2167165279388428
1.0,14,2.2277345657348633
1.0,15,2.2499756813049316
1.0,16,2.95924973487854
1.0,17,2.8272457122802734
1.0,18,2.223938465118408
1.0,19,2.2482717037200928
1.0,20,2.266207695007324
1.0,21,2.723104238510132
1.0,22,3.1609249114990234
1.0,23,2.1894235610961914
1.0,24,2.2737765312194824
1.0,25,2.1725783348083496
1.0,26,2.2545089721679688
1.0,27,2.207119941711426
1.0,28,2.2255067825317383
1.0,29,2.269993305206299
1.0,30,2.733193874359131
1.0,31,2.8880724906921387
1.0,32,2.197869062423706
1.0,33,3.0501511096954346
1.0,34,2.8642754554748535
1.0,35,2.226360559463501
1.0,36,2.249530076980591
1.0,37,2.210327386856079
1.0,38,2.237013578414917
1.0,39,2.18233323097229
1.0,40,2.193575143814087
1.0,41,2.7496085166931152
1.0,42,3.0430617332458496
1.0,43,2.2280776500701904
1.0,44,2.2520525455474854
1.0,45,2.236807107925415
1.0,46,2.254796028137207
1.0,47,2.1990480422973633
1.0,48,2.2584855556488037
1.0,49,2.2649588584899902
1.0,50,2.237919807434082
1.0,51,2.202085494995117
1.0,52,2.2645323276519775
1.0,53,2.2450783252716064
1.0,54,2.196929454803467
1.0,55,2.191460609436035
1.0,56,2.1815297603607178
1.0,57,2.0345020294189453
1.0,58,1.9730477333068848
1.0,59,1.9410006999969482
1.0,60,1.9535369873046875
1.0,61,1.9201405048370361
1.0,62,1.9009709358215332
1.0,63,1.8825955390930176
1.0,64,2.792271137237549
1.0,65,2.8680806159973145
1.0,66,2.3137857913970947
1.0,67,2.219419240951538
1.0,68,2.329646348953247
1.0,69,2.157597064971924
1.0,70,2.253605365753174
1.0,71,2.2552378177642822
1.0,72,2.212937355041504
1.0,73,2.7355077266693115
1.0,74,2.8846282958984375
1.0,75,2.6460864543914795
1.0,76,2.8344969749450684
1.0,77,2.190213441848755
1.0,78,2.2936737537384033
1.0,79,2.2223639488220215
1.0,80,2.211405038833618
1.0,81,2.1765244007110596
1.0,82,3.0727052688598633
1.0,83,2.8318393230438232
1.0,84,2.1974453926086426
1.0,85,2.3266069889068604
1.0,86,2.212894916534424
1.0,87,2.23569393157959
1.0,88,2.2701704502105713
1.0,89,2.194201946258545
1.0,90,2.210437536239624
1.0,91,2.3513479232788086
1.0,92,2.704711675643921
1.0,93,2.197887420654297
1.0,94,3.149862051010132
1.0,95,2.6518023014068604
1.0,96,2.8473410606384277
1.0,97,2.3146579265594482
1.0,98,2.185885190963745
1.0,99,2.21826434135437
0.75,0,3.0305979251861572
0.75,1,2.8053267002105713
0.75,2,2.347259044647217
0.75,3,2.311401605606079
0.75,4,2.288076400756836
0.75,5,2.2191267013549805
0.75,6,2.2537808418273926
0.75,7,2.272493362426758
0.75,8,2.2453064918518066
0.75,9,2.1758389472961426
0.75,10,2.279022455215454
