nCPUs,expN,Execution Time
1.0,0,3.8206629753112793
1.0,1,2.212463140487671
1.0,2,2.1785483360290527
1.0,3,2.1998651027679443
1.0,4,2.2831315994262695
1.0,5,2.172671318054199
1.0,6,2.1572890281677246
1.0,7,2.311652183532715
1.0,8,2.162750720977783
1.0,9,2.2549376487731934
1.0,10,2.213780403137207
1.0,11,2.1883084774017334
1.0,12,2.13083553314209
1.0,13,2.1702611446380615
1.0,14,2.1656761169433594
1.0,15,2.0370118618011475
1.0,16,2.803356170654297
1.0,17,2.835348129272461
1.0,18,2.022843360900879
1.0,19,2.013686418533325
1.0,20,2.0630946159362793
1.0,21,1.9459545612335205
1.0,22,1.6408233642578125
1.0,23,1.679546594619751
1.0,24,1.6498804092407227
1.0,25,1.6444551944732666
1.0,26,2.641855478286743
1.0,27,2.75258731842041
1.0,28,2.3528430461883545
1.0,29,2.575758934020996
1.0,30,2.0879886150360107
1.0,31,1.9425673484802246
1.0,32,1.99977445602417
1.0,33,2.014904022216797
1.0,34,2.307936429977417
1.0,35,2.591010570526123
1.0,36,2.310842514038086
1.0,37,2.5424060821533203
1.0,38,2.0891945362091064
1.0,39,1.996002197265625
1.0,40,1.970902681350708
1.0,41,1.9983301162719727
1.0,42,2.6387710571289062
1.0,43,2.5678842067718506
1.0,44,2.590156078338623
1.0,45,2.8189616203308105
1.0,46,2.2121336460113525
1.0,47,2.2570788860321045
1.0,48,2.473536968231201
1.0,49,1.9765386581420898
1.0,50,2.047272205352783
1.0,51,1.959644079208374
1.0,52,1.9479033946990967
1.0,53,1.9587690830230713
1.0,54,2.0705080032348633
1.0,55,1.9302337169647217
1.0,56,1.9646058082580566
1.0,57,1.9706239700317383
1.0,58,1.9714009761810303
1.0,59,2.6154539585113525
1.0,60,2.8051230907440186
1.0,61,2.01928973197937
1.0,62,2.7285544872283936
1.0,63,2.516197681427002
1.0,64,2.0118491649627686
1.0,65,2.0181877613067627
1.0,66,1.974259853363037
1.0,67,2.0430972576141357
1.0,68,2.0020413398742676
1.0,69,2.003875732421875
1.0,70,1.9717302322387695
1.0,71,2.258542776107788
1.0,72,2.777833938598633
1.0,73,1.9493722915649414
1.0,74,1.9924218654632568
1.0,75,2.01651668548584
1.0,76,2.0717828273773193
1.0,77,2.2508647441864014
1.0,78,2.605529308319092
1.0,79,2.1232454776763916
1.0,80,2.7212421894073486
1.0,81,2.5717570781707764
1.0,82,2.007094621658325
1.0,83,2.074598789215088
1.0,84,1.966331958770752
1.0,85,2.0046300888061523
1.0,86,2.384721279144287
1.0,87,2.8638083934783936
1.0,88,1.9713687896728516
1.0,89,2.0876619815826416
1.0,90,2.354052782058716
1.0,91,2.52435040473938
1.0,92,2.0498132705688477
1.0,93,1.9896996021270752
1.0,94,2.648376941680908
1.0,95,2.856161594390869
1.0,96,2.0476584434509277
1.0,97,1.9627108573913574
1.0,98,1.9818973541259766
1.0,99,2.0097577571868896
0.75,0,1.9875974655151367
0.75,1,2.3739681243896484
0.75,2,2.7698581218719482
0.75,3,2.2341578006744385
0.75,4,2.3800253868103027
0.75,5,2.5584590435028076
0.75,6,1.952134370803833
0.75,7,2.454105854034424
0.75,8,1.9135839939117432
0.75,9,2.5497989654541016
0.75,10,2.327411413192749
0.75,11,2.7484915256500244
0.75,12,2.0329501628875732
0.75,13,2.0094151496887207
0.75,14,2.1280148029327393
0.75,15,2.039659261703491
0.75,16,2.079023838043213
0.75,17,2.109238862991333
0.75,18,2.0394506454467773
0.75,19,2.0033318996429443
0.75,20,2.0588600635528564
0.75,21,2.055549383163452
0.75,22,1.9715156555175781
0.75,23,2.070775270462036
0.75,24,2.1182570457458496
0.75,25,2.607057809829712
0.75,26,1.7415733337402344
0.75,27,2.719604253768921
0.75,28,2.2666373252868652
0.75,29,2.6988344192504883
0.75,30,2.137742280960083
0.75,31,2.02675461769104
0.75,32,1.977365255355835
0.75,33,2.057767629623413
0.75,34,1.9859321117401123
0.75,35,1.9431800842285156
0.75,36,2.068223714828491
0.75,37,2.3897862434387207
0.75,38,2.647162914276123
0.75,39,2.3057003021240234
0.75,40,2.5675625801086426
0.75,41,1.9557383060455322
0.75,42,2.007427930831909
0.75,43,2.106410026550293
0.75,44,2.058617115020752
0.75,45,1.9846129417419434
0.75,46,1.9778027534484863
0.75,47,2.047562837600708
0.75,48,2.052178144454956
0.75,49,2.057424783706665
0.75,50,5.797471761703491
0.75,51,2.618300437927246
0.75,52,2.3366148471832275
0.75,53,2.6011080741882324
0.75,54,2.364403486251831
0.75,55,2.6976616382598877
0.75,56,2.1783270835876465
0.75,57,2.144057035446167
0.75,58,2.050999164581299
0.75,59,2.073075771331787
0.75,60,2.0278539657592773
0.75,61,2.136042833328247
0.75,62,2.200444221496582
0.75,63,2.0346062183380127
0.75,64,2.0320212841033936
0.75,65,1.9851598739624023
0.75,66,1.9818990230560303
0.75,67,2.1123340129852295
0.75,68,1.9883687496185303
0.75,69,2.049823760986328
0.75,70,2.0475804805755615
0.75,71,2.121962308883667
0.75,72,1.7341549396514893
0.75,73,2.2843241691589355
0.75,74,2.588397741317749
0.75,75,2.376725435256958
0.75,76,2.747978925704956
0.75,77,2.0841541290283203
0.75,78,2.1248321533203125
0.75,79,2.1684913635253906
0.75,80,2.094082832336426
0.75,81,2.098578453063965
0.75,82,2.4158527851104736
0.75,83,2.673764705657959
0.75,84,2.1447112560272217
0.75,85,2.34851336479187
0.75,86,2.718797445297241
0.75,87,2.057007312774658
0.75,88,2.0830013751983643
0.75,89,2.103550434112549
0.75,90,2.030799627304077
0.75,91,2.04252290725708
0.75,92,2.1176788806915283
0.75,93,2.1873135566711426
0.75,94,2.0367419719696045
0.75,95,2.040825843811035
0.75,96,2.001453399658203
0.75,97,2.0440104007720947
0.75,98,2.045408010482788
0.75,99,2.0863194465637207
0.5,0,6.3699188232421875
0.5,1,3.090979814529419
0.5,2,3.153815746307373
0.5,3,3.0534706115722656
0.5,4,2.918933868408203
0.5,5,7.824270009994507
0.5,6,3.7717268466949463
0.5,7,4.3424766063690186
0.5,8,2.6901676654815674
0.5,9,2.6649608612060547
0.5,10,3.4971096515655518
0.5,11,2.670602560043335
0.5,12,2.4506771564483643
0.5,13,2.6519691944122314
0.5,14,2.8096041679382324
0.5,15,3.5159881114959717
0.5,16,2.4985697269439697
0.5,17,6.472931861877441
0.5,18,3.137763023376465
0.5,19,3.2026004791259766
0.5,20,2.8036015033721924
0.5,21,2.86726450920105
0.5,22,3.5985794067382812
0.5,23,3.440303325653076
0.5,24,2.56314754486084
0.5,25,3.5710151195526123
0.5,26,2.8985157012939453
0.5,27,3.538839817047119
0.5,28,3.1935722827911377
0.5,29,3.3760712146759033
0.5,30,2.6269028186798096
0.5,31,2.572840690612793
0.5,32,3.443249464035034
0.5,33,3.7490341663360596
0.5,34,2.7738959789276123
0.5,35,2.757340669631958
0.5,36,2.6484878063201904
0.5,37,2.634474277496338
0.5,38,2.6989121437072754
0.5,39,2.6389172077178955
0.5,40,2.544133186340332
0.5,41,2.563171863555908
0.5,42,7.186434745788574
0.5,43,3.0251190662384033
0.5,44,3.624880313873291
0.5,45,2.5769524574279785
0.5,46,3.584585428237915
0.5,47,3.880195379257202
0.5,48,2.580839157104492
0.5,49,3.7233617305755615
0.5,50,3.7202043533325195
0.5,51,2.9685299396514893
0.5,52,2.877253770828247
0.5,53,3.242546319961548
0.5,54,3.443411111831665
0.5,55,2.7344043254852295
0.5,56,2.6905910968780518
0.5,57,3.760869026184082
0.5,58,3.7016067504882812
0.5,59,3.7660248279571533
0.5,60,3.4348483085632324
0.5,61,2.5442161560058594
0.5,62,2.6453282833099365
0.5,63,2.569864273071289
0.5,64,7.217443943023682
0.5,65,3.5951285362243652
0.5,66,2.9929635524749756
0.5,67,2.856846809387207
0.5,68,3.716783285140991
0.5,69,3.4437479972839355
0.5,70,2.693021059036255
0.5,71,2.8467600345611572
0.5,72,2.5897157192230225
0.5,73,3.727224588394165
0.5,74,3.3112332820892334
0.5,75,4.2752087116241455
0.5,76,4.44579553604126
0.5,77,3.5195603370666504
0.5,78,3.55621600151062
0.5,79,2.8274426460266113
0.5,80,4.38326358795166
0.5,81,3.804102659225464
0.5,82,7.335994482040405
0.5,83,3.8078904151916504
0.5,84,2.8242671489715576
0.5,85,7.247875213623047
0.5,86,3.738656759262085
0.5,87,2.933544158935547
0.5,88,7.3138344287872314
0.5,89,3.8974430561065674
0.5,90,3.0352611541748047
0.5,91,3.685854911804199
0.5,92,3.3900110721588135
0.5,93,2.4705817699432373
0.5,94,2.5385289192199707
0.5,95,2.532707691192627
0.5,96,2.6212775707244873
0.5,97,2.5537729263305664
0.5,98,2.4877288341522217
0.5,99,2.53551983833313
