nCPUs,expN,Execution Time
1.0,0,5.924624919891357
1.0,1,4.240748405456543
1.0,2,4.290331840515137
1.0,3,4.124594211578369
1.0,4,4.192911863327026
1.0,5,4.187911033630371
1.0,6,4.333515167236328
1.0,7,5.107803106307983
1.0,8,4.517399311065674
1.0,9,3.906712532043457
1.0,10,3.9672045707702637
1.0,11,3.9781839847564697
1.0,12,3.940415620803833
1.0,13,3.922037124633789
1.0,14,3.9631519317626953
1.0,15,3.9401111602783203
1.0,16,3.992417097091675
1.0,17,3.9626994132995605
1.0,18,3.9701550006866455
1.0,19,4.060821294784546
1.0,20,3.7703962326049805
1.0,21,3.6723122596740723
1.0,22,3.710585594177246
1.0,23,3.650822877883911
1.0,24,3.6632306575775146
1.0,25,3.7155113220214844
1.0,26,3.6775271892547607
1.0,27,5.144951581954956
1.0,28,4.633190155029297
1.0,29,4.016359090805054
1.0,30,5.023115158081055
1.0,31,4.467084169387817
1.0,32,4.054971694946289
1.0,33,3.9020001888275146
1.0,34,3.887145757675171
1.0,35,5.038603782653809
1.0,36,4.803598165512085
1.0,37,4.0005176067352295
1.0,38,3.9702529907226562
1.0,39,4.069876432418823
1.0,40,3.929326057434082
1.0,41,4.076146364212036
1.0,42,3.948211908340454
1.0,43,3.9836957454681396
1.0,44,4.014252662658691
1.0,45,3.941943645477295
1.0,46,4.0624470710754395
1.0,47,4.010233640670776
1.0,48,3.9985179901123047
1.0,49,4.832659006118774
1.0,50,4.139416217803955
1.0,51,4.847518444061279
1.0,52,4.986755132675171
1.0,53,4.766279220581055
1.0,54,3.963832378387451
1.0,55,4.044917583465576
1.0,56,3.9136931896209717
1.0,57,4.716197967529297
1.0,58,4.547065019607544
1.0,59,3.972384452819824
1.0,60,3.9251770973205566
1.0,61,4.1175537109375
1.0,62,4.069529294967651
1.0,63,3.924551248550415
1.0,64,3.9839887619018555
1.0,65,4.702011346817017
1.0,66,4.61530876159668
1.0,67,4.079013109207153
1.0,68,3.961200475692749
1.0,69,3.9317760467529297
1.0,70,4.124135255813599
1.0,71,3.969207286834717
1.0,72,3.8926496505737305
1.0,73,4.7184693813323975
1.0,74,4.780343055725098
1.0,75,3.9991395473480225
1.0,76,3.920095920562744
1.0,77,3.942251205444336
1.0,78,3.9494850635528564
1.0,79,3.9287264347076416
1.0,80,4.008239030838013
1.0,81,4.028196573257446
1.0,82,3.969080686569214
1.0,83,3.996084690093994
1.0,84,3.9292654991149902
1.0,85,3.84098482131958
1.0,86,3.793290853500366
1.0,87,3.731658458709717
1.0,88,3.781041145324707
1.0,89,3.742985963821411
1.0,90,5.170598268508911
1.0,91,4.974497079849243
1.0,92,4.025801181793213
1.0,93,4.058730125427246
1.0,94,3.9166786670684814
1.0,95,3.9682109355926514
1.0,96,3.9943888187408447
1.0,97,3.932187080383301
1.0,98,4.06981086730957
1.0,99,3.965657949447632
0.75,0,4.900139808654785
0.75,1,4.561901569366455
0.75,2,3.9383065700531006
0.75,3,3.9665050506591797
0.75,4,3.9871346950531006
0.75,5,4.0069615840911865
0.75,6,3.9128899574279785
0.75,7,4.005374193191528
0.75,8,4.0501720905303955
0.75,9,4.019674777984619
0.75,10,5.072232961654663
0.75,11,4.646727561950684
0.75,12,3.9552464485168457
0.75,13,4.80583381652832
0.75,14,4.608219861984253
0.75,15,4.015902757644653
0.75,16,4.066775798797607
0.75,17,3.988825798034668
0.75,18,4.01010537147522
0.75,19,3.9659934043884277
0.75,20,4.82736611366272
0.75,21,4.540847301483154
0.75,22,4.889297246932983
0.75,23,4.592784643173218
0.75,24,3.983808994293213
0.75,25,3.801082134246826
0.75,26,4.766052007675171
0.75,27,4.5833775997161865
0.75,28,4.905121326446533
0.75,29,4.6910035610198975
0.75,30,4.089171648025513
0.75,31,3.918321371078491
0.75,32,4.8993239402771
0.75,33,4.125613212585449
0.75,34,4.655572891235352
0.75,35,4.058248519897461
0.75,36,4.001974821090698
0.75,37,4.118899583816528
0.75,38,4.135080099105835
0.75,39,4.935790061950684
0.75,40,4.6147682666778564
0.75,41,3.9052369594573975
0.75,42,3.9811952114105225
0.75,43,4.0614540576934814
0.75,44,3.9686574935913086
0.75,45,4.013776063919067
0.75,46,4.990807056427002
0.75,47,4.667585849761963
0.75,48,4.103989601135254
0.75,49,3.9692516326904297
0.75,50,4.000108480453491
0.75,51,4.040853500366211
0.75,52,3.9536287784576416
0.75,53,3.8555309772491455
0.75,54,4.015383243560791
0.75,55,4.04457688331604
0.75,56,3.92899489402771
0.75,57,4.098431825637817
0.75,58,3.875870943069458
