cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,testFunc,testFunc2,testFunc,testFunc2,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,4.76837158203125e-07,7.152557373046875e-07,latency_loss,0.039,0.039,0.039,0
1,1,1Gi,1.0,1.0,1.430511474609375e-06,1.430511474609375e-06,latency_loss,0.053,0.053,0.053,1
1,1,1Gi,1.0,1.0,2.1457672119140625e-06,2.1457672119140625e-06,latency_loss,0.062,0.062,0.062,2
1,1,1Gi,0.1,1.0,1.9073486328125e-06,2.384185791015625e-06,latency_loss,0.065,0.065,0.065,0
1,1,1Gi,0.1,1.0,1.430511474609375e-06,9.5367431640625e-07,latency_loss,0.049,0.049,0.049,1
1,1,1Gi,0.1,1.0,3.0994415283203125e-06,1.1920928955078125e-06,latency_loss,0.06,0.06,0.06,2
1,1,1Gi,1.0,0.1,7.152557373046875e-07,1.430511474609375e-06,latency_loss,0.063,0.063,0.063,0
1,1,1Gi,1.0,0.1,1.9073486328125e-06,1.6689300537109375e-06,latency_loss,0.057,0.057,0.057,1
1,1,1Gi,1.0,0.1,9.5367431640625e-07,3.0994415283203125e-06,latency_loss,0.067,0.067,0.067,2
