cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.573,0.573,0.573
2,1,1Gi,0.4,0.2,0.3,0.3,0.4,latency_loss,0.649,0.649,1.298
2,1,1Gi,0.3,1.0,0.4,0.2,1.0,latency_loss,0.618,0.618,1.236
1,1,1Gi,1.0,0.8,1.0,1.0,0.1,latency_loss,0.605,0.605,0.605
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,0.599,0.599,0.599
1,1,1Gi,1.0,1.0,1.0,1.0,0.9,latency_loss,0.592,0.592,0.592
2,1,1Gi,0.1,1.0,0.1,0.1,0.8,latency_loss,0.529,0.529,1.058
1,1,1Gi,1.0,0.1,1.0,1.0,0.9,latency_loss,0.573,0.573,0.573
1,1,1Gi,1.0,0.8,1.0,1.0,0.9,latency_loss,0.535,0.535,0.535
1,1,1Gi,0.1,0.9,0.7,0.1,1.0,latency_loss,0.585,0.585,0.585
2,1,1Gi,0.7,1.0,0.6,1.0,0.9,latency_loss,0.522,0.522,1.044
1,1,1Gi,0.9,1.0,0.7,1.0,0.9,latency_loss,0.565,0.565,0.565
2,1,1Gi,0.8,1.0,0.4,0.7,1.0,latency_loss,0.572,0.572,1.144
2,1,1Gi,0.5,0.7,0.7,0.5,1.0,latency_loss,0.575,0.575,1.15
2,1,1Gi,0.8,0.9,0.1,0.3,0.9,latency_loss,0.564,0.564,1.128
1,1,1Gi,0.2,0.1,0.8,0.8,0.9,latency_loss,0.57,0.57,0.57
1,1,1Gi,0.3,0.6,0.6,0.5,1.0,latency_loss,0.596,0.596,0.596
2,1,1Gi,0.7,0.9,0.5,0.7,0.9,latency_loss,0.742,0.742,1.484
1,1,1Gi,0.8,0.3,0.6,0.1,1.0,latency_loss,0.612,0.612,0.612
2,1,1Gi,0.1,1.0,0.6,0.2,1.0,latency_loss,0.662,0.662,1.324
1,1,1Gi,0.2,1.0,0.8,0.1,1.0,latency_loss,0.571,0.571,0.571
1,1,1Gi,0.2,0.7,0.7,0.3,1.0,latency_loss,0.603,0.603,0.603
2,1,1Gi,0.3,0.1,0.7,0.9,1.0,latency_loss,0.639,0.639,1.278
1,1,1Gi,0.2,1.0,0.7,0.2,0.9,latency_loss,0.656,0.656,0.656
1,1,1Gi,0.2,0.8,0.7,0.3,1.0,latency_loss,0.607,0.607,0.607
1,1,1Gi,0.4,0.6,0.6,0.8,1.0,latency_loss,0.585,0.585,0.585
1,1,1Gi,0.1,0.7,0.7,1.0,0.6,latency_loss,0.563,0.563,0.563
1,1,1Gi,1.0,0.7,0.1,0.8,1.0,latency_loss,0.602,0.602,0.602
1,1,1Gi,1.0,1.0,0.1,0.5,1.0,latency_loss,0.581,0.581,0.581
1,1,1Gi,0.2,0.7,0.4,0.3,1.0,latency_loss,0.534,0.534,0.534
1,1,1Gi,1.0,0.7,0.5,0.7,0.9,latency_loss,0.531,0.531,0.531
2,1,1Gi,0.8,0.7,0.5,0.1,0.6,latency_loss,0.606,0.606,1.212
2,1,1Gi,0.4,0.8,0.5,0.5,1.0,latency_loss,0.616,0.616,1.232
1,1,1Gi,0.2,0.8,0.3,0.3,0.5,latency_loss,0.617,0.617,0.617
1,1,1Gi,0.1,0.9,0.3,0.6,1.0,latency_loss,0.54,0.54,0.54
2,1,1Gi,0.8,0.6,0.9,0.7,0.9,latency_loss,0.611,0.611,1.222
1,1,1Gi,0.1,0.7,0.6,0.8,0.9,latency_loss,0.561,0.561,0.561
2,1,1Gi,0.4,0.5,0.7,0.3,1.0,latency_loss,0.628,0.628,1.256
2,1,1Gi,0.4,1.0,0.4,0.5,1.0,latency_loss,0.633,0.633,1.266
2,1,1Gi,0.9,0.8,0.2,0.6,0.9,latency_loss,0.572,0.572,1.144
1,1,1Gi,0.2,0.8,0.7,0.5,0.9,latency_loss,0.541,0.541,0.541
1,1,1Gi,0.3,0.8,1.0,0.9,1.0,latency_loss,0.543,0.543,0.543
2,1,1Gi,0.9,1.0,0.2,0.7,0.8,latency_loss,0.582,0.582,1.164
1,1,1Gi,0.1,0.7,0.6,0.6,0.6,latency_loss,0.605,0.605,0.605
1,1,1Gi,0.7,0.8,0.5,0.1,1.0,latency_loss,0.542,0.542,0.542
2,1,1Gi,0.1,0.6,0.6,0.9,0.6,latency_loss,0.554,0.554,1.108
1,1,1Gi,0.1,0.8,0.2,0.4,0.6,latency_loss,0.564,0.564,0.564
2,1,1Gi,1.0,0.9,0.7,0.6,0.9,latency_loss,0.566,0.566,1.132
2,1,1Gi,0.4,0.9,0.3,0.2,1.0,latency_loss,0.565,0.565,1.13
1,1,1Gi,0.8,0.8,0.2,0.2,1.0,latency_loss,0.579,0.579,0.579
2,1,1Gi,0.8,1.0,0.6,0.9,0.9,latency_loss,0.614,0.614,1.228
1,1,1Gi,1.0,0.6,0.5,0.6,1.0,latency_loss,0.564,0.564,0.564
1,1,1Gi,0.5,0.9,0.8,0.3,1.0,latency_loss,0.581,0.581,0.581
1,1,1Gi,0.1,0.9,0.2,0.7,1.0,latency_loss,0.562,0.562,0.562
1,1,1Gi,0.4,0.7,0.6,0.8,1.0,latency_loss,0.592,0.592,0.592
1,1,1Gi,0.9,0.8,0.6,0.5,1.0,latency_loss,0.595,0.595,0.595
2,1,1Gi,0.7,0.9,0.4,0.1,0.9,latency_loss,0.584,0.584,1.168
1,1,1Gi,1.0,0.9,0.3,0.9,1.0,latency_loss,0.557,0.557,0.557
1,1,1Gi,0.8,0.8,0.9,0.5,1.0,latency_loss,0.542,0.542,0.542
2,1,1Gi,0.1,0.8,0.1,0.7,1.0,latency_loss,0.599,0.599,1.198
1,1,1Gi,0.7,0.8,0.4,0.2,1.0,latency_loss,0.551,0.551,0.551
2,1,1Gi,0.3,0.8,0.5,0.4,1.0,latency_loss,0.578,0.578,1.156
1,1,1Gi,0.6,0.7,1.0,1.0,1.0,latency_loss,0.543,0.543,0.543
1,1,1Gi,0.8,0.8,0.7,0.9,1.0,latency_loss,0.593,0.593,0.593
1,1,1Gi,0.4,0.9,0.7,0.6,1.0,latency_loss,0.585,0.585,0.585
2,1,1Gi,0.9,0.7,0.3,0.5,0.9,latency_loss,0.557,0.557,1.114
1,1,1Gi,0.8,0.8,0.3,0.3,0.3,latency_loss,0.624,0.624,0.624
1,1,1Gi,0.1,0.8,0.1,1.0,1.0,latency_loss,0.575,0.575,0.575
2,1,1Gi,0.8,0.8,0.9,0.4,1.0,latency_loss,0.572,0.572,1.144
1,1,1Gi,0.1,1.0,0.1,1.0,1.0,latency_loss,0.685,0.685,0.685
