cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23337221145629883,8.58306884765625e-06,0.2728409767150879,1.1920928955078125e-06,0.5527157783508301,latency_loss,0.617,0.617,1.05893874168396,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.22736096382141113,5.0067901611328125e-06,0.2656853199005127,9.5367431640625e-07,0.5432121753692627,latency_loss,0.565,0.565,1.036264419555664,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.21733355522155762,1.0251998901367188e-05,0.27809906005859375,9.5367431640625e-07,0.54486083984375,latency_loss,0.583,0.583,1.0403046607971191,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.23818516731262207,6.67572021484375e-06,0.2509312629699707,9.5367431640625e-07,0.534705638885498,latency_loss,0.555,0.555,1.023829698562622,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2513298988342285,7.62939453125e-06,0.27430224418640137,1.1920928955078125e-06,0.5650641918182373,latency_loss,0.585,0.585,1.090705156326294,4
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.4278297424316406,1.7404556274414062e-05,0.7980208396911621,2.384185791015625e-06,1.3419482707977295,latency_loss,1.366,1.366,0.2567818641662598,0
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.39736366271972656,1.52587890625e-05,0.6402568817138672,2.6226043701171875e-06,1.213045597076416,latency_loss,1.307,1.307,0.22506840229034425,1
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.4128272533416748,1.8358230590820312e-05,0.8160126209259033,3.0994415283203125e-06,1.4079902172088623,latency_loss,1.435,1.435,0.26368515491485595,2
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.44582366943359375,1.6450881958007812e-05,0.732130765914917,5.0067901611328125e-06,1.3394057750701904,latency_loss,1.366,1.366,0.251738166809082,3
1,1,1Gi,0.1,0.1,0.1,0.1,0.1,0.5138590335845947,2.002716064453125e-05,0.7934229373931885,2.1457672119140625e-06,1.4257583618164062,latency_loss,1.492,1.492,0.2733062505722046,4
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.27114081382751465,1.71661376953125e-05,0.24977874755859375,4.0531158447265625e-06,0.5688650608062744,latency_loss,0.589,0.589,0.8521844863891601,0
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.24703764915466309,7.3909759521484375e-06,0.2578275203704834,3.0994415283203125e-06,0.5556042194366455,latency_loss,0.575,0.575,0.8349065542221069,1
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.24698734283447266,1.3113021850585938e-05,0.24565386772155762,3.0994415283203125e-06,0.5451743602752686,latency_loss,0.565,0.565,0.8159407377243042,2
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.2780582904815674,7.152557373046875e-06,0.2776045799255371,3.0994415283203125e-06,0.6042964458465576,latency_loss,0.626,0.626,0.9098507404327393,3
1,1,1Gi,0.4,1.0,0.7,0.2,1.0,0.25433921813964844,7.152557373046875e-06,0.2714266777038574,3.337860107421875e-06,0.5740511417388916,latency_loss,0.597,0.597,0.8657933235168458,4
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.24936246871948242,2.2172927856445312e-05,0.2638561725616455,9.5367431640625e-07,0.554135799407959,latency_loss,0.617,0.617,0.9565304517745972,0
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.20582246780395508,1.6450881958007812e-05,0.25945186614990234,9.5367431640625e-07,0.5143537521362305,latency_loss,0.542,0.542,0.876759934425354,1
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23934435844421387,1.5974044799804688e-05,0.27374267578125,9.5367431640625e-07,0.5675959587097168,latency_loss,0.615,0.615,0.9671663522720337,2
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23737311363220215,2.3126602172851562e-05,0.2832658290863037,2.6226043701171875e-06,0.564831018447876,latency_loss,0.586,0.586,0.9725086927413942,3
1,1,1Gi,1.0,0.1,1.0,1.0,0.8,0.23487114906311035,1.5020370483398438e-05,0.27880406379699707,1.1920928955078125e-06,0.5654826164245605,latency_loss,0.586,0.586,0.9660640001296996,4
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3087124824523926,5.4836273193359375e-06,0.28806090354919434,3.0994415283203125e-06,0.6546521186828613,latency_loss,0.683,0.683,0.9447839736938477,0
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3001875877380371,5.9604644775390625e-06,0.23030686378479004,2.86102294921875e-06,0.575157880783081,latency_loss,0.664,0.664,0.8124590635299682,1
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3434486389160156,1.1920928955078125e-05,0.28027820587158203,3.0994415283203125e-06,0.6699032783508301,latency_loss,0.699,0.699,0.9565107583999635,2
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.2971982955932617,6.4373016357421875e-06,0.2300090789794922,3.814697265625e-06,0.5782394409179688,latency_loss,0.66,0.66,0.8149742603302002,3
1,1,1Gi,0.1,1.0,0.9,0.1,1.0,0.3030383586883545,6.67572021484375e-06,0.23281049728393555,3.337860107421875e-06,0.5833141803741455,latency_loss,0.607,0.607,0.8231544733047486,4
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.2541632652282715,7.152557373046875e-06,0.2653350830078125,2.384185791015625e-06,0.5751752853393555,latency_loss,0.648,0.648,0.9620156288146973,0
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.2150726318359375,1.3589859008789062e-05,0.32752466201782227,1.6689300537109375e-06,0.5950610637664795,latency_loss,0.618,0.618,0.9739112854003906,1
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.23519659042358398,1.4781951904296875e-05,0.27460575103759766,1.1920928955078125e-06,0.5639598369598389,latency_loss,0.584,0.584,0.9364752769470215,2
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.21912693977355957,2.9802322387695312e-05,0.31676459312438965,9.5367431640625e-07,0.5854544639587402,latency_loss,0.664,0.664,0.9629944562911987,3
1,1,1Gi,1.0,1.0,0.5,1.0,1.0,0.23424148559570312,6.4373016357421875e-06,0.2774653434753418,9.5367431640625e-07,0.56424880027771,latency_loss,0.641,0.641,0.9372303485870361,4
