cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.617,0.617,0.617
2,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.604,0.604,1.208
2,1,1Gi,0.7,1.0,1.0,1.0,1.0,latency_loss,0.682,0.682,1.364
2,1,1Gi,0.4,1.0,1.0,1.0,1.0,latency_loss,1.622,1.622,3.244
2,1,1Gi,0.1,1.0,1.0,1.0,1.0,latency_loss,2.134,2.134,4.268
2,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,1.705,1.705,3.41
2,1,1Gi,1.0,0.4,1.0,1.0,1.0,latency_loss,1.75,1.75,3.5
2,1,1Gi,1.0,0.1,1.0,1.0,1.0,latency_loss,1.719,1.719,3.438
2,1,1Gi,1.0,1.0,0.7,1.0,1.0,latency_loss,1.812,1.812,3.624
2,1,1Gi,1.0,1.0,0.4,1.0,1.0,latency_loss,1.655,1.655,3.31
2,1,1Gi,1.0,1.0,0.1,1.0,1.0,latency_loss,1.68,1.68,3.36
2,1,1Gi,1.0,1.0,1.0,0.7,1.0,latency_loss,1.939,1.939,3.878
2,1,1Gi,1.0,1.0,1.0,0.4,1.0,latency_loss,1.781,1.781,3.562
2,1,1Gi,1.0,1.0,1.0,0.1,1.0,latency_loss,1.841,1.841,3.682
2,1,1Gi,1.0,1.0,1.0,1.0,0.7,latency_loss,1.607,1.607,3.214
2,1,1Gi,1.0,1.0,1.0,1.0,0.4,latency_loss,1.586,1.586,3.172
2,1,1Gi,1.0,1.0,1.0,1.0,0.1,latency_loss,1.67,1.67,3.34
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,latency_loss,0.63,0.63,0.63
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,latency_loss,0.592,0.592,0.592
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,latency_loss,1.078,1.078,1.078
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,0.635,0.635,0.635
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,latency_loss,0.719,0.719,0.719
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,latency_loss,0.677,0.677,0.677
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,latency_loss,0.689,0.689,0.689
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,latency_loss,0.67,0.67,0.67
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,latency_loss,0.537,0.537,0.537
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,latency_loss,0.58,0.58,0.58
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,latency_loss,0.574,0.574,0.574
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,latency_loss,0.604,0.604,0.604
1,1,1Gi,1.0,1.0,1.0,1.0,0.7,latency_loss,0.569,0.569,0.569
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,latency_loss,0.605,0.605,0.605
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,latency_loss,0.583,0.583,0.583
