cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.697,0.697,0.697,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.574,0.574,0.574,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,latency_loss,0.637,0.637,0.637,2
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,latency_loss,0.551,0.551,0.551,0
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,latency_loss,0.616,0.616,0.616,1
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,latency_loss,0.556,0.556,0.556,2
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,latency_loss,0.634,0.634,0.634,0
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,latency_loss,0.587,0.587,0.587,1
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,latency_loss,0.608,0.608,0.608,2
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,latency_loss,0.576,0.576,0.576,0
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,latency_loss,0.563,0.563,0.563,1
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,latency_loss,0.605,0.605,0.605,2
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,0.73,0.73,0.73,0
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,0.596,0.596,0.596,1
1,1,1Gi,1.0,0.7,1.0,1.0,1.0,latency_loss,0.668,0.668,0.668,2
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,latency_loss,0.683,0.683,0.683,0
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,latency_loss,0.584,0.584,0.584,1
1,1,1Gi,1.0,0.4,1.0,1.0,1.0,latency_loss,0.635,0.635,0.635,2
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,latency_loss,0.67,0.67,0.67,0
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,latency_loss,0.581,0.581,0.581,1
1,1,1Gi,1.0,0.1,1.0,1.0,1.0,latency_loss,0.567,0.567,0.567,2
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,latency_loss,0.605,0.605,0.605,0
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,latency_loss,0.595,0.595,0.595,1
1,1,1Gi,1.0,1.0,0.7,1.0,1.0,latency_loss,0.801,0.801,0.801,2
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,latency_loss,0.617,0.617,0.617,0
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,latency_loss,0.598,0.598,0.598,1
1,1,1Gi,1.0,1.0,0.4,1.0,1.0,latency_loss,0.617,0.617,0.617,2
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,latency_loss,0.624,0.624,0.624,0
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,latency_loss,0.597,0.597,0.597,1
1,1,1Gi,1.0,1.0,0.1,1.0,1.0,latency_loss,0.626,0.626,0.626,2
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,latency_loss,0.605,0.605,0.605,0
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,latency_loss,0.617,0.617,0.617,1
1,1,1Gi,1.0,1.0,1.0,0.7,1.0,latency_loss,0.583,0.583,0.583,2
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,latency_loss,0.637,0.637,0.637,0
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,latency_loss,0.549,0.549,0.549,1
1,1,1Gi,1.0,1.0,1.0,0.4,1.0,latency_loss,0.577,0.577,0.577,2
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,latency_loss,0.547,0.547,0.547,0
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,latency_loss,0.614,0.614,0.614,1
1,1,1Gi,1.0,1.0,1.0,0.1,1.0,latency_loss,0.608,0.608,0.608,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.7,latency_loss,0.584,0.584,0.584,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.7,latency_loss,0.593,0.593,0.593,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.7,latency_loss,0.587,0.587,0.587,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,latency_loss,0.565,0.565,0.565,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,latency_loss,0.571,0.571,0.571,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.4,latency_loss,0.587,0.587,0.587,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,latency_loss,0.597,0.597,0.597,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,latency_loss,0.586,0.586,0.586,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,latency_loss,0.606,0.606,0.606,2
