cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.270693302154541,9.775161743164062e-06,2.384185791015625e-07,0.24335575103759766,9.5367431640625e-07,0.578174352645874,latency_loss,0.654,0.654,0.654,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.2763371467590332,1.33514404296875e-05,9.5367431640625e-07,0.33750128746032715,2.1457672119140625e-06,0.6817116737365723,latency_loss,0.758,0.758,0.758,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.2998056411743164,6.67572021484375e-06,4.76837158203125e-07,0.3463704586029053,1.1920928955078125e-06,0.708791971206665,latency_loss,0.745,0.745,0.745,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.2705094814300537,2.765655517578125e-05,7.152557373046875e-07,0.25063323974609375,1.430511474609375e-06,0.580742597579956,latency_loss,0.615,0.615,0.615,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.29799771308898926,6.9141387939453125e-06,7.152557373046875e-07,0.2897005081176758,1.1920928955078125e-06,0.6476876735687256,latency_loss,0.724,0.724,0.724,4
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.34555530548095703,6.9141387939453125e-06,9.5367431640625e-07,0.27581119537353516,9.5367431640625e-07,0.6891269683837891,latency_loss,0.719,0.719,0.719,5
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.23374009132385254,7.152557373046875e-06,4.76837158203125e-07,0.26023149490356445,7.152557373046875e-07,0.5567452907562256,latency_loss,0.586,0.586,0.586,6
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.3261079788208008,1.5497207641601562e-05,1.6689300537109375e-06,0.2583129405975342,1.6689300537109375e-06,0.6541233062744141,latency_loss,0.724,0.724,0.724,7
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.2739729881286621,1.239776611328125e-05,4.76837158203125e-07,0.3263375759124756,9.5367431640625e-07,0.6690740585327148,latency_loss,0.701,0.701,0.701,8
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.29025793075561523,1.239776611328125e-05,7.152557373046875e-07,0.27878260612487793,1.9073486328125e-06,0.6341907978057861,latency_loss,0.659,0.659,0.659,9
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.29869651794433594,1.8358230590820312e-05,1.1920928955078125e-06,0.2660353183746338,7.152557373046875e-07,0.6309099197387695,latency_loss,0.664,0.664,0.664,0
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.22731924057006836,7.867813110351562e-06,1.1920928955078125e-06,0.27661561965942383,1.1920928955078125e-06,0.5656867027282715,latency_loss,0.632,0.632,0.632,1
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.26341962814331055,8.821487426757812e-06,4.76837158203125e-07,0.27056312561035156,7.152557373046875e-07,0.5963177680969238,latency_loss,0.666,0.666,0.666,2
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.30847883224487305,6.67572021484375e-06,9.5367431640625e-07,0.28269505500793457,9.5367431640625e-07,0.6474895477294922,latency_loss,0.715,0.715,0.715,3
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.2961728572845459,6.4373016357421875e-06,4.76837158203125e-07,0.34565114974975586,9.5367431640625e-07,0.7073829174041748,latency_loss,0.775,0.775,0.775,4
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.25660228729248047,1.239776611328125e-05,7.152557373046875e-07,0.28461790084838867,1.6689300537109375e-06,0.6068928241729736,latency_loss,0.675,0.675,0.675,5
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.2100539207458496,6.198883056640625e-06,1.1920928955078125e-06,0.2785336971282959,1.1920928955078125e-06,0.5484035015106201,latency_loss,0.581,0.581,0.581,6
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.2395951747894287,6.67572021484375e-06,9.5367431640625e-07,0.3099668025970459,1.9073486328125e-06,0.6048331260681152,latency_loss,0.681,0.681,0.681,7
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.24905180931091309,6.4373016357421875e-06,9.5367431640625e-07,0.323197603225708,9.5367431640625e-07,0.6291408538818359,latency_loss,0.66,0.66,0.66,8
1,1,1Gi,0.7,1.0,1.0,1.0,1.0,1.0,0.26557421684265137,5.7220458984375e-06,7.152557373046875e-07,0.26015353202819824,9.5367431640625e-07,0.5874302387237549,latency_loss,0.616,0.616,0.616,9
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.3053920269012451,5.4836273193359375e-06,1.430511474609375e-06,0.30677080154418945,9.5367431640625e-07,0.6789553165435791,latency_loss,0.734,0.734,0.734,0
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.35792994499206543,6.4373016357421875e-06,7.152557373046875e-07,0.2707216739654541,9.5367431640625e-07,0.6887478828430176,latency_loss,0.72,0.72,0.72,1
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.2782564163208008,2.384185791015625e-05,1.430511474609375e-06,0.27073144912719727,9.5367431640625e-07,0.608546257019043,latency_loss,0.659,0.659,0.659,2
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.2897493839263916,1.0728836059570312e-05,4.76837158203125e-07,0.2718851566314697,9.5367431640625e-07,0.6167283058166504,latency_loss,0.643,0.643,0.643,3
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.32486534118652344,7.152557373046875e-06,7.152557373046875e-07,0.323291540145874,2.86102294921875e-06,0.7115764617919922,latency_loss,0.74,0.74,0.74,4
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.2767491340637207,1.2159347534179688e-05,7.152557373046875e-07,0.2442302703857422,1.1920928955078125e-06,0.5880303382873535,latency_loss,0.623,0.623,0.623,5
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.26763129234313965,1.3828277587890625e-05,7.152557373046875e-07,0.2789497375488281,2.1457672119140625e-06,0.6084158420562744,latency_loss,0.64,0.64,0.64,6
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.3169889450073242,6.9141387939453125e-06,7.152557373046875e-07,0.24401140213012695,1.9073486328125e-06,0.6307318210601807,latency_loss,0.711,0.711,0.711,7
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.2582271099090576,6.4373016357421875e-06,4.76837158203125e-07,0.3213644027709961,1.430511474609375e-06,0.6384274959564209,latency_loss,0.659,0.659,0.659,8
1,1,1Gi,0.4,1.0,1.0,1.0,1.0,1.0,0.3613715171813965,6.4373016357421875e-06,7.152557373046875e-07,0.25962281227111816,7.152557373046875e-07,0.6797192096710205,latency_loss,0.71,0.71,0.71,9
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3768596649169922,5.9604644775390625e-06,4.76837158203125e-07,0.31111788749694824,1.430511474609375e-06,0.7503619194030762,latency_loss,0.783,0.783,0.783,0
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3209495544433594,6.198883056640625e-06,1.1920928955078125e-06,0.27009034156799316,9.5367431640625e-07,0.6542260646820068,latency_loss,0.722,0.722,0.722,1
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3388526439666748,8.106231689453125e-06,9.5367431640625e-07,0.2429666519165039,9.5367431640625e-07,0.6476421356201172,latency_loss,0.671,0.671,0.671,2
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.34922218322753906,6.198883056640625e-06,7.152557373046875e-07,0.2961304187774658,2.6226043701171875e-06,0.7130172252655029,latency_loss,0.742,0.742,0.742,3
1,1,1Gi,0.1,1.0,1.0,1.0,1.0,1.0,0.3254427909851074,5.4836273193359375e-06,7.152557373046875e-07,0.2727963924407959,7.152557373046875e-07,0.6560988426208496,latency_loss,0.684,0.684,0.684,4
