cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,handler,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.24604201316833496,6.4373016357421875e-06,4.76837158203125e-07,0.27843356132507324,7.152557373046875e-07,0.5927219390869141,latency_loss,0.637,0.637,1.1172051429748535,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.25565052032470703,6.4373016357421875e-06,7.152557373046875e-07,0.2761094570159912,9.5367431640625e-07,0.5978403091430664,latency_loss,0.67,0.67,1.129608392715454,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.2654988765716553,5.7220458984375e-06,9.5367431640625e-07,0.26431846618652344,1.6689300537109375e-06,0.5984809398651123,latency_loss,0.619,0.619,1.1283066272735596,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.20557475090026855,5.9604644775390625e-06,4.76837158203125e-07,0.25815677642822266,1.1920928955078125e-06,0.52774977684021,latency_loss,0.549,0.549,0.9914889335632324,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,1.0,0.23355340957641602,6.4373016357421875e-06,4.76837158203125e-07,0.2753012180328369,1.1920928955078125e-06,0.5775163173675537,latency_loss,0.609,0.609,1.086379051208496,4
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.1,0.2812631130218506,6.4373016357421875e-06,4.76837158203125e-07,0.28086376190185547,9.5367431640625e-07,0.6236066818237305,latency_loss,0.652,0.652,0.6244954109191895,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.1,0.23949599266052246,6.9141387939453125e-06,7.152557373046875e-07,0.2821807861328125,1.1920928955078125e-06,0.5932557582855225,latency_loss,0.656,0.656,0.581011176109314,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.1,0.2480945587158203,1.2874603271484375e-05,9.5367431640625e-07,0.26972365379333496,9.5367431640625e-07,0.5930914878845215,latency_loss,0.668,0.668,0.5771421432495117,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.1,0.21456265449523926,6.9141387939453125e-06,4.76837158203125e-07,0.2834296226501465,1.1920928955078125e-06,0.5845370292663574,latency_loss,0.61,0.61,0.5564545631408692,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.1,0.22590899467468262,6.67572021484375e-06,4.76837158203125e-07,0.29909229278564453,2.86102294921875e-06,0.639742374420166,latency_loss,0.679,0.679,0.588985538482666,4
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,1.0,0.2173612117767334,7.152557373046875e-06,2.384185791015625e-07,0.24709153175354004,2.6226043701171875e-06,0.5283224582672119,latency_loss,0.56,0.56,0.9927828550338745,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,1.0,0.2560100555419922,6.4373016357421875e-06,9.5367431640625e-07,0.2296891212463379,2.6226043701171875e-06,0.5490677356719971,latency_loss,0.579,0.579,1.0347745656967162,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,1.0,0.2059948444366455,7.62939453125e-06,9.5367431640625e-07,0.22885870933532715,1.6689300537109375e-06,0.495577335357666,latency_loss,0.534,0.534,0.9304396390914917,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,1.0,0.21615815162658691,1.52587890625e-05,7.152557373046875e-07,0.2688870429992676,2.1457672119140625e-06,0.5493113994598389,latency_loss,0.582,0.582,1.0343727827072144,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,1.0,0.2529325485229492,6.4373016357421875e-06,4.76837158203125e-07,0.2354755401611328,2.6226043701171875e-06,0.5519287586212158,latency_loss,0.574,0.574,1.0403440237045287,4
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.1,0.2308659553527832,6.67572021484375e-06,4.76837158203125e-07,0.28667306900024414,2.384185791015625e-06,0.6023344993591309,latency_loss,0.672,0.672,0.5777798652648926,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.1,0.2624776363372803,1.52587890625e-05,9.5367431640625e-07,0.2682688236236572,3.5762786865234375e-06,0.5892214775085449,latency_loss,0.668,0.668,0.5896851778030395,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.1,0.1,0.2540736198425293,5.7220458984375e-06,7.152557373046875e-07,0.33339858055114746,1.6689300537109375e-06,0.6846635341644287,latency_loss,0.711,0.711,0.6559451580047608,2
