cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,0.23734283447265625,5.4836273193359375e-06,0.25959038734436035,1.430511474609375e-06,latency_loss,0.616,0.616,0.49694013595581055,0
1,1,1Gi,1.0,1.0,1.0,1.0,0.23899221420288086,5.9604644775390625e-06,0.465822696685791,1.1920928955078125e-06,latency_loss,0.787,0.787,0.7048220634460449,1
1,1,1Gi,1.0,1.0,1.0,1.0,0.26986026763916016,6.4373016357421875e-06,0.3031744956970215,1.430511474609375e-06,latency_loss,0.639,0.639,0.573042631149292,2
1,1,1Gi,1.0,1.0,1.0,1.0,0.24242091178894043,6.67572021484375e-06,0.2600736618041992,1.430511474609375e-06,latency_loss,0.566,0.566,0.5025026798248291,3
1,1,1Gi,1.0,1.0,1.0,1.0,0.30623865127563477,5.7220458984375e-06,0.25809478759765625,1.1920928955078125e-06,latency_loss,0.64,0.64,0.564340353012085,4
1,1,1Gi,1.0,1.0,1.0,0.7,0.23615574836730957,5.7220458984375e-06,0.25618910789489746,2.86102294921875e-06,latency_loss,0.568,0.568,0.4923525810241699,0
1,1,1Gi,1.0,1.0,1.0,0.7,0.23905730247497559,5.0067901611328125e-06,0.25592660903930664,2.6226043701171875e-06,latency_loss,0.61,0.61,0.49499075412750243,1
1,1,1Gi,1.0,1.0,1.0,0.7,0.2334439754486084,5.7220458984375e-06,0.2622697353363037,2.6226043701171875e-06,latency_loss,0.577,0.577,0.4957212686538696,2
1,1,1Gi,1.0,1.0,1.0,0.7,0.236586332321167,6.67572021484375e-06,0.26390981674194336,1.9073486328125e-06,latency_loss,0.567,0.567,0.5005041599273682,3
1,1,1Gi,1.0,1.0,1.0,0.7,0.23709988594055176,6.198883056640625e-06,0.26859045028686523,3.5762786865234375e-06,latency_loss,0.578,0.578,0.5056990385055542,4
1,1,1Gi,1.0,1.0,1.0,0.4,0.24316000938415527,6.4373016357421875e-06,0.2617528438568115,3.0994415283203125e-06,latency_loss,0.577,0.577,0.5049205303192139,0
1,1,1Gi,1.0,1.0,1.0,0.4,0.2745835781097412,6.4373016357421875e-06,0.2725231647491455,4.0531158447265625e-06,latency_loss,0.664,0.664,0.5471148014068603,1
1,1,1Gi,1.0,1.0,1.0,0.4,0.2414548397064209,1.0251998901367188e-05,0.25986766815185547,4.5299530029296875e-06,latency_loss,0.615,0.615,0.5013345718383789,2
1,1,1Gi,1.0,1.0,1.0,0.4,0.24145102500915527,6.4373016357421875e-06,0.25185537338256836,2.6226043701171875e-06,latency_loss,0.593,0.593,0.4933138847351074,3
1,1,1Gi,1.0,1.0,1.0,0.4,0.235137939453125,7.3909759521484375e-06,0.26169800758361816,3.337860107421875e-06,latency_loss,0.589,0.589,0.4968446731567383,4
1,1,1Gi,1.0,1.0,1.0,0.1,0.2397928237915039,6.4373016357421875e-06,0.2567942142486572,1.6689300537109375e-06,latency_loss,0.588,0.588,0.49659364223480223,0
1,1,1Gi,1.0,1.0,1.0,0.1,0.2433333396911621,8.106231689453125e-06,0.2718367576599121,3.0994415283203125e-06,latency_loss,0.642,0.642,0.5151785135269165,1
1,1,1Gi,1.0,1.0,1.0,0.1,0.2383427619934082,5.245208740234375e-06,0.268618106842041,1.9073486328125e-06,latency_loss,0.576,0.576,0.5069663047790527,2
1,1,1Gi,1.0,1.0,1.0,0.1,0.23918914794921875,8.821487426757812e-06,0.2566413879394531,2.86102294921875e-06,latency_loss,0.571,0.571,0.49583964347839354,3
1,1,1Gi,1.0,1.0,1.0,0.1,0.3364598751068115,7.62939453125e-06,0.26123929023742676,2.86102294921875e-06,latency_loss,0.669,0.669,0.5977070808410645,4
1,1,1Gi,1.0,1.0,0.7,1.0,0.23817992210388184,7.3909759521484375e-06,0.3150458335876465,1.1920928955078125e-06,latency_loss,0.641,0.641,0.45872058868408205,0
1,1,1Gi,1.0,1.0,0.7,1.0,0.23608779907226562,9.059906005859375e-06,0.2735931873321533,1.1920928955078125e-06,latency_loss,0.589,0.589,0.42761328220367434,1
1,1,1Gi,1.0,1.0,0.7,1.0,0.23936915397644043,6.198883056640625e-06,0.2694432735443115,9.5367431640625e-07,latency_loss,0.599,0.599,0.4279865980148315,2
1,1,1Gi,1.0,1.0,0.7,1.0,0.23297762870788574,6.67572021484375e-06,0.2773420810699463,7.152557373046875e-07,latency_loss,0.59,0.59,0.42712447643280027,3
1,1,1Gi,1.0,1.0,0.7,1.0,0.23503923416137695,5.9604644775390625e-06,0.2745702266693115,1.1920928955078125e-06,latency_loss,0.631,0.631,0.42724554538726806,4
1,1,1Gi,1.0,1.0,0.7,0.7,0.23725199699401855,1.5020370483398438e-05,0.2656688690185547,3.5762786865234375e-06,latency_loss,0.577,0.577,0.4232377290725708,0
1,1,1Gi,1.0,1.0,0.7,0.7,0.251986026763916,7.152557373046875e-06,0.2675511837005615,2.1457672119140625e-06,latency_loss,0.598,0.598,0.43928050994873047,1
1,1,1Gi,1.0,1.0,0.7,0.7,0.23861169815063477,6.67572021484375e-06,0.28032660484313965,2.1457672119140625e-06,latency_loss,0.637,0.637,0.4348484992980957,2
1,1,1Gi,1.0,1.0,0.7,0.7,0.23452210426330566,8.106231689453125e-06,0.2764160633087158,4.291534423828125e-06,latency_loss,0.587,0.587,0.4280244588851929,3
1,1,1Gi,1.0,1.0,0.7,0.7,0.24371027946472168,1.1682510375976562e-05,0.27813148498535156,2.384185791015625e-06,latency_loss,0.607,0.607,0.4384156703948975,4
1,1,1Gi,1.0,1.0,0.7,0.4,0.2341611385345459,7.152557373046875e-06,0.27857518196105957,3.0994415283203125e-06,latency_loss,0.648,0.648,0.4291721582412719,0
1,1,1Gi,1.0,1.0,0.7,0.4,0.23848986625671387,6.4373016357421875e-06,0.2719717025756836,2.86102294921875e-06,latency_loss,0.588,0.588,0.4288776397705078,1
1,1,1Gi,1.0,1.0,0.7,0.4,0.23968195915222168,6.9141387939453125e-06,0.28151726722717285,4.0531158447265625e-06,latency_loss,0.655,0.655,0.4367525815963745,2
1,1,1Gi,1.0,1.0,0.7,0.4,0.23750591278076172,6.198883056640625e-06,0.2801053524017334,2.6226043701171875e-06,latency_loss,0.588,0.588,0.43358690738677974,3
1,1,1Gi,1.0,1.0,0.7,0.4,0.25490570068359375,6.198883056640625e-06,0.2792677879333496,2.6226043701171875e-06,latency_loss,0.667,0.667,0.4504004001617431,4
1,1,1Gi,1.0,1.0,0.7,0.1,0.23877787590026855,1.0013580322265625e-05,0.2786722183227539,2.6226043701171875e-06,latency_loss,0.587,0.587,0.4338587045669556,0
1,1,1Gi,1.0,1.0,0.7,0.1,0.24166512489318848,6.67572021484375e-06,0.271228551864624,2.384185791015625e-06,latency_loss,0.59,0.59,0.43153202533721924,1
1,1,1Gi,1.0,1.0,0.7,0.1,0.2436234951019287,6.4373016357421875e-06,0.27463388442993164,3.0994415283203125e-06,latency_loss,0.598,0.598,0.43587396144866947,2
1,1,1Gi,1.0,1.0,0.7,0.1,0.23942327499389648,6.198883056640625e-06,0.27797484397888184,2.6226043701171875e-06,latency_loss,0.588,0.588,0.43401212692260743,3
1,1,1Gi,1.0,1.0,0.7,0.1,0.2590627670288086,5.0067901611328125e-06,0.3045990467071533,2.1457672119140625e-06,latency_loss,0.649,0.649,0.4722873210906982,4
1,1,1Gi,1.0,1.0,0.4,1.0,0.26122140884399414,5.9604644775390625e-06,0.31630778312683105,9.5367431640625e-07,latency_loss,0.648,0.648,0.3877514362335205,0
1,1,1Gi,1.0,1.0,0.4,1.0,0.2360391616821289,5.245208740234375e-06,0.30068254470825195,9.5367431640625e-07,latency_loss,0.675,0.675,0.35631837844848635,1
1,1,1Gi,1.0,1.0,0.4,1.0,0.24503254890441895,7.3909759521484375e-06,0.308443546295166,9.5367431640625e-07,latency_loss,0.628,0.628,0.3684183120727539,2
1,1,1Gi,1.0,1.0,0.4,1.0,0.23839020729064941,7.152557373046875e-06,0.30904507637023926,1.1920928955078125e-06,latency_loss,0.633,0.633,0.3620165824890137,3
1,1,1Gi,1.0,1.0,0.4,1.0,0.23796987533569336,6.4373016357421875e-06,0.3417198657989502,1.1920928955078125e-06,latency_loss,0.655,0.655,0.3746654510498047,4
1,1,1Gi,1.0,1.0,0.4,0.7,0.2336869239807129,5.4836273193359375e-06,0.31961703300476074,1.430511474609375e-06,latency_loss,0.644,0.644,0.3615402221679687,0
1,1,1Gi,1.0,1.0,0.4,0.7,0.24091672897338867,6.67572021484375e-06,0.32682323455810547,2.6226043701171875e-06,latency_loss,0.639,0.639,0.37165453433990475,1
1,1,1Gi,1.0,1.0,0.4,0.7,0.24274182319641113,5.9604644775390625e-06,0.316638708114624,7.152557373046875e-07,latency_loss,0.628,0.628,0.36940376758575444,2
1,1,1Gi,1.0,1.0,0.4,0.7,0.23679351806640625,5.9604644775390625e-06,0.33957600593566895,2.384185791015625e-06,latency_loss,0.649,0.649,0.3726315498352051,3
1,1,1Gi,1.0,1.0,0.4,0.7,0.23818683624267578,6.4373016357421875e-06,0.320162296295166,2.86102294921875e-06,latency_loss,0.63,0.63,0.3662601947784424,4
1,1,1Gi,1.0,1.0,0.4,0.4,0.2386016845703125,1.2636184692382812e-05,0.31766581535339355,3.0994415283203125e-06,latency_loss,0.63,0.63,0.36568188667297363,0
1,1,1Gi,1.0,1.0,0.4,0.4,0.2482893466949463,2.1219253540039062e-05,0.3101513385772705,3.337860107421875e-06,latency_loss,0.629,0.629,0.37237243652343754,1
1,1,1Gi,1.0,1.0,0.4,0.4,0.24052071571350098,5.7220458984375e-06,0.3295140266418457,2.6226043701171875e-06,latency_loss,0.645,0.645,0.37233309745788573,2
1,1,1Gi,1.0,1.0,0.4,0.4,0.23739910125732422,5.4836273193359375e-06,0.3090338706970215,2.86102294921875e-06,latency_loss,0.616,0.616,0.36101927757263186,3
1,1,1Gi,1.0,1.0,0.4,0.4,0.2325913906097412,6.198883056640625e-06,0.2966439723968506,2.1457672119140625e-06,latency_loss,0.647,0.647,0.3512560367584229,4
1,1,1Gi,1.0,1.0,0.4,0.1,0.23763632774353027,4.5299530029296875e-06,0.32783055305480957,3.5762786865234375e-06,latency_loss,0.647,0.647,0.36877343654632566,0
1,1,1Gi,1.0,1.0,0.4,0.1,0.439953088760376,6.67572021484375e-06,0.3068253993988037,3.814697265625e-06,latency_loss,0.85,0.85,0.5626903057098389,1
1,1,1Gi,1.0,1.0,0.4,0.1,0.23534059524536133,7.152557373046875e-06,0.3377354145050049,2.6226043701171875e-06,latency_loss,0.649,0.649,0.37044217586517336,2
1,1,1Gi,1.0,1.0,0.4,0.1,0.24161052703857422,7.3909759521484375e-06,0.29518771171569824,2.86102294921875e-06,latency_loss,0.669,0.669,0.3596932888031006,3
1,1,1Gi,1.0,1.0,0.4,0.1,0.2509007453918457,1.9311904907226562e-05,0.3081319332122803,2.86102294921875e-06,latency_loss,0.626,0.626,0.37417311668395997,4
1,1,1Gi,1.0,1.0,0.1,1.0,0.24187207221984863,7.152557373046875e-06,0.6398954391479492,2.6226043701171875e-06,latency_loss,0.979,0.979,0.30587139129638674,0
