cluster_config,cluster_config,cluster_config,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_resource_map,function_times,function_times,function_times,function_times,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,extractImgMetadata,transformMetadata,thumbnail,returnMetadata,createThumbnail,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.21791863441467285,6.198883056640625e-06,0.25264930725097656,9.5367431640625e-07,0.5122184753417969,latency_loss,0.539,0.539,0.9827935695648193,0
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.28217196464538574,4.76837158203125e-06,0.234025239944458,9.5367431640625e-07,0.5653069019317627,latency_loss,0.59,0.59,1.0815098285675049,1
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.2518143653869629,7.62939453125e-06,0.23067712783813477,9.5367431640625e-07,0.5247368812561035,latency_loss,0.547,0.547,1.0072369575500488,2
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.24013876914978027,6.4373016357421875e-06,0.265657901763916,7.152557373046875e-07,0.5550198554992676,latency_loss,0.615,0.615,1.060823678970337,3
1,1,1Gi,1.0,1.0,1.0,1.0,1.0,0.21316814422607422,6.198883056640625e-06,0.23517417907714844,1.1920928955078125e-06,0.5027358531951904,latency_loss,0.529,0.529,0.9510855674743652,4
1,1,1Gi,0.7,1.0,1.0,0.1,0.4,0.28374338150024414,6.198883056640625e-06,0.23781824111938477,2.86102294921875e-06,0.5673298835754395,latency_loss,0.633,0.633,0.663377046585083,0
1,1,1Gi,0.7,1.0,1.0,0.1,0.4,0.26021671295166016,1.049041748046875e-05,0.24893569946289062,2.86102294921875e-06,0.5646891593933105,latency_loss,0.595,0.595,0.6569738388061523,1
1,1,1Gi,0.7,1.0,1.0,0.1,0.4,0.24422812461853027,7.3909759521484375e-06,0.2856724262237549,5.245208740234375e-06,0.590557336807251,latency_loss,0.619,0.619,0.6928629636764526,2
1,1,1Gi,0.7,1.0,1.0,0.1,0.4,0.23044896125793457,1.3828277587890625e-05,0.2358839511871338,2.6226043701171875e-06,0.5146481990814209,latency_loss,0.565,0.565,0.6030715942382813,3
1,1,1Gi,0.7,1.0,1.0,0.1,0.4,0.33255672454833984,6.198883056640625e-06,0.26731061935424805,4.5299530029296875e-06,0.6560032367706299,latency_loss,0.685,0.685,0.7625082731246948,4
1,1,1Gi,1.0,0.7,0.4,0.7,0.1,0.21106863021850586,1.1682510375976562e-05,0.4557936191558838,2.86102294921875e-06,0.7205715179443359,latency_loss,0.77,0.77,0.4654534101486206,0
1,1,1Gi,1.0,0.7,0.4,0.7,0.1,0.23831796646118164,9.775161743164062e-06,0.443770170211792,2.86102294921875e-06,0.7422573566436768,latency_loss,0.769,0.769,0.49006061553955077,1
1,1,1Gi,1.0,0.7,0.4,0.7,0.1,0.25173044204711914,1.33514404296875e-05,0.39603304862976074,1.9073486328125e-06,0.7030239105224609,latency_loss,0.777,0.777,0.4804567337036133,2
1,1,1Gi,1.0,0.7,0.4,0.7,0.1,0.2852025032043457,1.3589859008789062e-05,0.4816410541534424,1.9073486328125e-06,0.8258342742919922,latency_loss,0.858,0.858,0.560453200340271,3
1,1,1Gi,1.0,0.7,0.4,0.7,0.1,0.24345064163208008,1.430511474609375e-05,0.4227268695831299,2.86102294921875e-06,0.8177826404571533,latency_loss,0.845,0.845,0.49433166980743404,4
1,1,1Gi,1.0,0.4,0.7,0.1,0.7,0.26329612731933594,2.09808349609375e-05,0.28940463066101074,3.0994415283203125e-06,0.5978994369506836,latency_loss,0.635,0.635,0.8844176769256591,0
1,1,1Gi,1.0,0.4,0.7,0.1,0.7,0.2514984607696533,1.5974044799804688e-05,0.2870604991912842,4.0531158447265625e-06,0.587475061416626,latency_loss,0.618,0.618,0.8636801481246947,1
1,1,1Gi,1.0,0.4,0.7,0.1,0.7,0.21998906135559082,2.002716064453125e-05,0.2858569622039795,3.337860107421875e-06,0.5481958389282227,latency_loss,0.578,0.578,0.8038343667984008,2
1,1,1Gi,1.0,0.4,0.7,0.1,0.7,0.20851397514343262,1.6689300537109375e-05,0.28768062591552734,3.5762786865234375e-06,0.5430357456207275,latency_loss,0.575,0.575,0.7900224685668945,3
1,1,1Gi,1.0,0.4,0.7,0.1,0.7,0.23297739028930664,1.2874603271484375e-05,0.2710301876068115,3.814697265625e-06,0.543344259262085,latency_loss,0.57,0.57,0.8030450344085693,4
1,1,1Gi,0.1,1.0,0.4,1.0,1.0,0.3157169818878174,1.1682510375976562e-05,0.3081686496734619,7.152557373046875e-07,0.6833751201629639,latency_loss,0.713,0.713,0.8382266759872437,0
1,1,1Gi,0.1,1.0,0.4,1.0,1.0,0.3158247470855713,8.106231689453125e-06,0.40047287940979004,1.1920928955078125e-06,0.7687106132507324,latency_loss,0.807,0.807,0.9604915380477905,1
1,1,1Gi,0.1,1.0,0.4,1.0,1.0,0.3180553913116455,6.198883056640625e-06,0.4080166816711426,1.9073486328125e-06,0.7789545059204102,latency_loss,0.839,0.839,0.9739748239517212,2
1,1,1Gi,0.1,1.0,0.4,1.0,1.0,0.3319103717803955,5.7220458984375e-06,0.2988474369049072,9.5367431640625e-07,0.6776883602142334,latency_loss,0.697,0.697,0.8304250478744507,3
1,1,1Gi,0.1,1.0,0.4,1.0,1.0,0.30564022064208984,5.9604644775390625e-06,0.3061847686767578,7.152557373046875e-07,0.6662545204162598,latency_loss,0.69,0.69,0.8192991256713867,4
1,1,1Gi,1.0,0.1,0.4,0.4,0.7,0.23585963249206543,1.8835067749023438e-05,0.3233017921447754,3.0994415283203125e-06,0.6103982925415039,latency_loss,0.634,0.634,0.7924622774124146,0
1,1,1Gi,1.0,0.1,0.4,0.4,0.7,0.2370619773864746,1.8596649169921875e-05,0.3035562038421631,2.6226043701171875e-06,0.5911626815795898,latency_loss,0.667,0.667,0.7723012447357178,1
1,1,1Gi,1.0,0.1,0.4,0.4,0.7,0.23630499839782715,2.002716064453125e-05,0.35317373275756836,3.814697265625e-06,0.6655972003936768,latency_loss,0.748,0.748,0.8434960603713989,2
